folio,resuelto,ubicacion,grupo_asignado,zona,tiempo,estatus,inhibidor,comentarios,reporte,semanal,inhibidor_codigo,codigodescripcion,descripcion_resolutor,comentarios_resolutor,procede
INC057609343,2025-08-23 19:03:14,OFNA CETOS QUERETARO_GSM,EUT Resolutores SDK,0,3861,VENCIDO,VS,"2025-08-23 19:03:28 - BRENDA LOPEZ MAQUEDA (Observaciones adicionales)
Notas de resolución: SE PROCEDE A CIERRE DE REPORTE SEMANAL.

",SDK_INC,22 AGO - 28 AGO,Aplica,,,Folio padre Call de mercados del 18 al 22 de agosto 2025,procede
INC057609432,2025-08-23 19:05:41,OFNA CETOS QUERETARO_GSM,EUT Resolutores SDK,0,3858,VENCIDO,VS,"2025-08-23 19:05:42 - BRENDA LOPEZ MAQUEDA (Observaciones adicionales)
Notas de resolución: SE PROCEDE A CIERRE DE REPORTE SEMANAL.

",SDK_INC,22 AGO - 28 AGO,Aplica,,,Folio padre para llevar en control de casos de Fallas con IRONCHIP correspondiente del 16 al 22 de agosto 2025.,procede
INC057609457,2025-08-23 19:07:43,OFNA CETOS QUERETARO_GSM,EUT Resolutores SDK,0,3855,VENCIDO,VS,"2025-08-23 19:07:43 - BRENDA LOPEZ MAQUEDA (Observaciones adicionales)
Notas de resolución: SE PROCEDE A CIERRE DE REPORTE SEMANAL.

",SDK_INC,22 AGO - 28 AGO,Aplica,,,Folio padre para llevar en control de casos de Problemas para abrir correo MFA IRONCHIP en Edge y Chrome correspondiente del 16 al 22 de agosto 2025.,procede
INC057609467,2025-08-23 19:11:04,OFNA CETOS QUERETARO_GSM,EUT Resolutores SDK,0,3852,VENCIDO,VS,"2025-08-23 19:11:04 - BRENDA LOPEZ MAQUEDA (Observaciones adicionales)
Notas de resolución: SE PROCEDE A CIERRE DE REPORTE SEMANAL.

",SDK_INC,22 AGO - 28 AGO,Aplica,,,Folio padre para llevar en control de casos de problemas de BICS correspondiente del 16 al 22 de agosto 2025.,procede
INC057609506,2025-08-23 19:12:48,OFNA CETOS QUERETARO_GSM,EUT Resolutores SDK,0,3849,VENCIDO,VS,"2025-08-23 19:12:48 - BRENDA LOPEZ MAQUEDA (Observaciones adicionales)
Notas de resolución: SE PROCEDE A CIERRE DE REPORTE SEMANAL.

",SDK_INC,22 AGO - 28 AGO,Aplica,,,Folio padre para llevar en control de casos de problemas de Anfitrión VPN correspondiente del 16 al 22 de agosto 2025.,procede
INC057609512,2025-08-23 19:15:47,OFNA CETOS QUERETARO_GSM,EUT Resolutores SDK,0,3847,VENCIDO,VS,"2025-08-23 19:15:47 - BRENDA LOPEZ MAQUEDA (Observaciones adicionales)
Notas de resolución: SE PROCEDE A CIERRE DE REPORTE SEMANAL.

",SDK_INC,22 AGO - 28 AGO,Aplica,,,Folio padre para llevar en control de casos de problemas de Ironchip no acepta los códigos correspondientes del 16 al 22 de agosto 2025.,procede
INC057609607,2025-08-25 06:58:54,OFNA CETOS QUERETARO_GSM,EUT Resolutores SDK,0,3841,VENCIDO,VS,"2025-08-25 06:58:54 - BRENDA LOPEZ MAQUEDA (Observaciones adicionales)
Notas de resolución: SE PROCEDE A CIERRE DE REPORTE.

",SDK_INC,22 AGO - 28 AGO,Aplica,,,Folio padre para llevar el control de los casos donde el usuario no existe en la consola de Ironchip del 16 al 22 de agosto 2025,procede
INC057784954,2025-08-22 14:11:31,OFNA CETOS QUERETARO_GSM,EUT Resolutores SDK,0,774,VENCIDO,VS,"2025-08-22 14:11:42 - BRENDA LOPEZ MAQUEDA (Observaciones adicionales)
Notas de resolución: VENTANA DE AFECTACIÓN	1:54  p.m. 21 Ago. - 1:26 p.m. 22 Ago.
Se tomará como INCIDENTE PADRE:	INC057784954
INCIDENTES ASOCIADOS:	34
Bandeja de asignación:	 TMX_EU_Resolutores_SDK_Zona_0
Nota:	Se le notificara a los usuario que llamen a SDK que deben usar el acceso por la Santander Now  / APPS

",SDK_INC,22 AGO - 28 AGO,Aplica,,,"Folio padre para asociar problemas con la pagina de tracking 2.0, no permite ingresar por ""acceso corporativo"". Si ingresan con contraseña si les permite.",procede
INC057888846,2025-08-25 14:03:21,EDIF. CORPORATIVO DISTRITO QUERETARO,EUT Resolutores SDK,0,91,VENCIDO,VS,"2025-08-25 14:03:21 - ALMA ROSA GOMEZ OTILIO (Notas de trabajo)
*** NO SE REALIZA CONEXION REMOTA ***

ATENCION REAL: usuario menciona que El día de hoy, al intentar acceder a los incidentes asignados en mis bandejas de ServiceNow, me aparece el mensaje No records to display. Este problema me impide realizar mis actividades diarias, ya que trabajo en el área de incidentes bajo la supervisión de Salvador Solórzano, y el acceso a estas bandejas es esencial para mi labor
VOBO: JONATHAN EDSEL VAZQUEZ ESTRADA
ING: ALMA ROSA GOMEZ OTILIO
SOLUCION: Se asesora a usuario para generar folio con la categoría correcta
CATALOGO TECNICO
Productos globales
ITSM (Local items of entities) 
TMX - ITSM - ServiceNow Access Request
 ITSM - Help or Support
ZONA: TMX_EU_Resolutores_SDK_Zona_0
CC: 0900
SUC/CORP: EDIF. CORPORATIVO DISTRITO QUERETARO
Versión de SO: W10
Versión SDK Click: NA

2025-08-25 14:03:21 - ALMA ROSA GOMEZ OTILIO (Observaciones adicionales)
Notas de resolución: *** NO SE REALIZA CONEXION REMOTA ***

ATENCION REAL: usuario menciona que El día de hoy, al intentar acceder a los incidentes asignados en mis bandejas de ServiceNow, me aparece el mensaje No records to display. Este problema me impide realizar mis actividades diarias, ya que trabajo en el área de incidentes bajo la supervisión de Salvador Solórzano, y el acceso a estas bandejas es esencial para mi labor
VOBO: JONATHAN EDSEL VAZQUEZ ESTRADA
ING: ALMA ROSA GOMEZ OTILIO
SOLUCION: Se asesora a usuario para generar folio con la categoría correcta
CATALOGO TECNICO
Productos globales
ITSM (Local items of entities) 
TMX - ITSM - ServiceNow Access Request
 ITSM - Help or Support
ZONA: TMX_EU_Resolutores_SDK_Zona_0
CC: 0900
SUC/CORP: EDIF. CORPORATIVO DISTRITO QUERETARO
Versión de SO: W10
Versión SDK Click: NA

2025-08-25 14:01:31 - ALMA ROSA GOMEZ OTILIO (Notas de trabajo)
“SE ATIENDEN FUERA DE TIEMPO POR CONTINGENCIA”

2025-08-25 14:00:49 - ALMA ROSA GOMEZ OTILIO (Notas de trabajo)
Se confirma con el usuario que sus compañeros sin pueden realizar el proceso con el mismo filtrado pero a el no le aparece la información, ultima vez que pudo trabajar fue el dia vienes 25/08/2025, pero el dia de hoy ya no pudo ver la información

2025-08-25 13:59:27 - ALMA ROSA GOMEZ OTILIO (Notas de trabajo)
Se revisa tema con VDGS

2025-08-25 13:51:24 - JONATHAN EDSEL VAZQUEZ ESTRADA (Notas de trabajo)
Attachment imagen (5).png has been attached by JONATHAN EDSEL VAZQUEZ ESTRADA

2025-08-25 13:29:10 - ALMA ROSA GOMEZ OTILIO (Notas de trabajo)
marcando

",SDK_INC,22 AGO - 28 AGO,Aplica,,,Se atendió fuera de tiempo por contingencia.,procede
INC057954576,2025-08-27 12:29:48,SUC. KINO (4527),EUT Resolutores SDK,1,123,VENCIDO,VS,"2025-08-27 12:29:48 - JANET IRIDIAN VELAZQUEZ SANCHEZ (Observaciones adicionales)
Notas de resolución: ATENCION NO REMOTA
FALLA REAL: EL APLICATIVO DEL TOMA TURNO NO ME PERMITE INICIAR SESION, ME ARROJA UN MENSAJE DICIENDO QUE SE HA PRODUCIDO UN ERROR NO CONTROLADO. A MIS OTROS COMPAÑEROS NO LES APARECE EL ERROR.
VOBO:  IRLANDA SAMANTHA SEGURA ALDANA
ING: JANET IRIDIAN VELAZQUEZ SANCHEZ
SOLUCION: Favor de comunicarse a las siguientes extensiones (43056, 43057, 40895 y 18873) en un horario de 8:00 a.m. a 7:00 p.m.
o a la línea de correo soportedireccionador@santander.com.mx.
CC:(4527)
SUC/CORP: SUC. KINO 
ZONA: 0
Versión SDK Click: 2.0
Dominio:SANTANDERSERFIN
VERSION S.O: W10

2025-08-27 12:29:48 - JANET IRIDIAN VELAZQUEZ SANCHEZ (Notas de trabajo)
ATENCION NO REMOTA
FALLA REAL: EL APLICATIVO DEL TOMA TURNO NO ME PERMITE INICIAR SESION, ME ARROJA UN MENSAJE DICIENDO QUE SE HA PRODUCIDO UN ERROR NO CONTROLADO. A MIS OTROS COMPAÑEROS NO LES APARECE EL ERROR.
VOBO:  IRLANDA SAMANTHA SEGURA ALDANA
ING: JANET IRIDIAN VELAZQUEZ SANCHEZ
SOLUCION: Favor de comunicarse a las siguientes extensiones (43056, 43057, 40895 y 18873) en un horario de 8:00 a.m. a 7:00 p.m.
o a la línea de correo soportedireccionador@santander.com.mx.
CC:(4527)
SUC/CORP: SUC. KINO 
ZONA: 0
Versión SDK Click: 2.0
Dominio:SANTANDERSERFIN
VERSION S.O: W10

2025-08-27 12:28:23 - JANET IRIDIAN VELAZQUEZ SANCHEZ (Notas de trabajo)
SE ATIENDE FUERA DE TIEMPO POR CONTINGENCIA

2025-08-27 12:25:05 - JANET IRIDIAN VELAZQUEZ SANCHEZ (Observaciones adicionales)
Favor de comunicarse a las siguientes extensiones (43056, 43057, 40895 y 18873) en un horario de 8:00 a.m. a 7:00 p.m. 
o a la línea de correo soportedireccionador@santander.com.mx.

2025-08-27 12:07:12 - JANET IRIDIAN VELAZQUEZ SANCHEZ (Notas de trabajo)
Archivo adjunto Captura de pantalla 2025-08-27 120706.png ha sido agregado por JANET IRIDIAN VELAZQUEZ SANCHEZ

2025-08-27 11:55:26 - JANET IRIDIAN VELAZQUEZ SANCHEZ (Notas de trabajo)
marcando

",SDK_INC,22 AGO - 28 AGO,Aplica,,,Se atendió fuera de tiempo por contingencia.,procede
